time,value
2022-11-18T06:01:08,90.551765
2022-12-01T07:50:33,88.039558
2022-12-15T06:53:39,84.765438
2022-12-16T05:12:05,91.051613
2022-12-18T03:58:15,84.116679
2022-12-19T04:05:18,90.264930
2022-12-22T05:20:50,78.165829
